Cand_ID,ideology,Amt
N00003389,F3000,1000
N00003389,F3100,17500
N00003389,F3200,8500
N00003389,F3300,41500
N00003389,F3400,13500
N00003389,F4100,2500
N00003389,F4200,2000
N00003389,F4500,2500
N00003389,F5000,5000
N00003389,F5100,3500
N00003389,G2100,9500
N00003389,G2400,7500
N00003389,G2600,8500
N00003389,G2820,3500
N00003389,G2900,17000
N00003389,G4200,2500
N00003389,G4300,5000
N00003389,G4500,5000
N00003389,G4900,2500
N00003389,G6400,5000
N00003389,G6500,5000
N00003389,H1100,2500
N00003389,H1120,2500
N00003389,H1130,12500
N00003389,H1700,2500
N00003389,H1710,2500
N00003389,H2100,1000
N00003389,H2200,1000
N00003389,H3000,7500
N00003389,H3100,5000
N00003389,H3700,10000
N00003389,H4000,5000
N00003389,H4100,7000
N00003389,H4300,10613
N00003389,H4400,5000
N00003389,J2200,9083
N00003389,J5000,1000
N00003389,J5100,15000
N00003389,J6100,861
N00003389,J6200,2500
N00003389,JH100,1000
N00003389,K1000,10500
N00003389,K1200,4000
N00003389,K2000,1000
N00003389,L1100,1000
N00003389,L5000,2700
N00003389,LE100,2500
N00003389,LT100,2500
N00003389,LT500,2500
N00003389,M1000,10000
N00003389,M2100,2500
N00003389,M2300,5700
N00003389,M4300,1000
N00003389,T1100,20000
N00003389,T3100,10000
